"fips","SCC","Pollutant","Emissions","type","year"
"06037","50200601","PM25-PRI",0.402,"POINT",1999
"06037","50200901","PM25-PRI",0.136,"POINT",1999
"06037","50300601","PM25-PRI",29.653,"POINT",1999
"06037","50300702","PM25-PRI",27.017,"POINT",1999
"06037","2101006000","PM25-PRI",20.454,"NONPOINT",1999
"06037","2102004000","PM25-PRI",238.886,"NONPOINT",1999
"06037","2102005000","PM25-PRI",1.496,"NONPOINT",1999
"06037","2102006000","PM25-PRI",375.56,"NONPOINT",1999
"06037","2102006002","PM25-PRI",82.201,"NONPOINT",1999
"06037","2102007000","PM25-PRI",36.573,"NONPOINT",1999
"06037","2103004000","PM25-PRI",22.037,"NONPOINT",1999
"06037","2103005000","PM25-PRI",0.096,"NONPOINT",1999
"06037","2103006000","PM25-PRI",149.16,"NONPOINT",1999
"06037","2103007000","PM25-PRI",17.233,"NONPOINT",1999
"06037","2104002000","PM25-PRI",5.915,"NONPOINT",1999
"06037","2104004000","PM25-PRI",0.322,"NONPOINT",1999
"06037","2104006000","PM25-PRI",1136,"NONPOINT",1999
"06037","2104006010","PM25-PRI",741.6,"NONPOINT",1999
"06037","2104007000","PM25-PRI",11.634,"NONPOINT",1999
"06037","2104008001","PM25-PRI",4740.63,"NONPOINT",1999
"06037","2104008010","PM25-PRI",249.17,"NONPOINT",1999
"06037","2104011000","PM25-PRI",0.597,"NONPOINT",1999
"06037","2199004000","PM25-PRI",0.434,"NONPOINT",1999
"06037","2199004002","PM25-PRI",8.562,"NONPOINT",1999
"06037","2199011000","PM25-PRI",64.562,"NONPOINT",1999
"06037","2201001110","PM25-PRI",4.93,"ON-ROAD",1999
"06037","2201001130","PM25-PRI",8.22,"ON-ROAD",1999
"06037","2201001150","PM25-PRI",4.7,"ON-ROAD",1999
"06037","2201001170","PM25-PRI",4.62,"ON-ROAD",1999
"06037","2201001190","PM25-PRI",1.98,"ON-ROAD",1999
"06037","2201001210","PM25-PRI",1.71,"ON-ROAD",1999
"06037","2201001230","PM25-PRI",358.43,"ON-ROAD",1999
"06037","2201001250","PM25-PRI",209.69,"ON-ROAD",1999
"06037","2201001270","PM25-PRI",333.98,"ON-ROAD",1999
"06037","2201001290","PM25-PRI",231.79,"ON-ROAD",1999
"06037","2201001310","PM25-PRI",54.81,"ON-ROAD",1999
"06037","2201001330","PM25-PRI",106.01,"ON-ROAD",1999
"06037","2201020110","PM25-PRI",2.96,"ON-ROAD",1999
"06037","2201020130","PM25-PRI",4.94,"ON-ROAD",1999
"06037","2201020150","PM25-PRI",2.83,"ON-ROAD",1999
"06037","2201020170","PM25-PRI",2.78,"ON-ROAD",1999
"06037","2201020190","PM25-PRI",1.19,"ON-ROAD",1999
"06037","2201020210","PM25-PRI",1.03,"ON-ROAD",1999
"06037","2201020230","PM25-PRI",199.89,"ON-ROAD",1999
"06037","2201020250","PM25-PRI",116.94,"ON-ROAD",1999
"06037","2201020270","PM25-PRI",186.26,"ON-ROAD",1999
"06037","2201020290","PM25-PRI",129.26,"ON-ROAD",1999
"06037","2201020310","PM25-PRI",30.57,"ON-ROAD",1999
"06037","2201020330","PM25-PRI",59.12,"ON-ROAD",1999
