"fips","SCC","Pollutant","Emissions","type","year"
"06037","220107031B","PM25-PRI",0.57,"ON-ROAD",2002
"06037","220107031T","PM25-PRI",0.3,"ON-ROAD",2002
"06037","220107031X","PM25-PRI",1.33,"ON-ROAD",2002
"06037","220107033B","PM25-PRI",1.03,"ON-ROAD",2002
"06037","220107033T","PM25-PRI",0.54,"ON-ROAD",2002
"06037","220107033X","PM25-PRI",2.4,"ON-ROAD",2002
"06037","220108011B","PM25-PRI",0.0029451245,"ON-ROAD",2002
"06037","220108011T","PM25-PRI",0.0009817511,"ON-ROAD",2002
"06037","220108011X","PM25-PRI",0.04,"ON-ROAD",2002
"06037","220108013B","PM25-PRI",0.0054065113,"ON-ROAD",2002
"06037","220108013T","PM25-PRI",0.0018022496,"ON-ROAD",2002
"06037","220108013X","PM25-PRI",0.07,"ON-ROAD",2002
"06037","220108015B","PM25-PRI",0.0029355454,"ON-ROAD",2002
"06037","220108015T","PM25-PRI",0.000978558,"ON-ROAD",2002
"06037","220108015X","PM25-PRI",0.04,"ON-ROAD",2002
"06037","220108017B","PM25-PRI",0.0027216159,"ON-ROAD",2002
"06037","220108017T","PM25-PRI",0.000907245,"ON-ROAD",2002
"06037","220108017X","PM25-PRI",0.04,"ON-ROAD",2002
"06037","220108019B","PM25-PRI",0.0009686701,"ON-ROAD",2002
"06037","220108019T","PM25-PRI",0.0003229042,"ON-ROAD",2002
"06037","220108019X","PM25-PRI",0.01,"ON-ROAD",2002
"06037","220108021B","PM25-PRI",0.0009511087,"ON-ROAD",2002
"06037","220108021T","PM25-PRI",0.0003170501,"ON-ROAD",2002
"06037","220108021X","PM25-PRI",0.01,"ON-ROAD",2002
"06037","220108023B","PM25-PRI",0.17,"ON-ROAD",2002
"06037","220108023T","PM25-PRI",0.05,"ON-ROAD",2002
"06037","220108023X","PM25-PRI",2.64,"ON-ROAD",2002
"06037","220108025B","PM25-PRI",0.11,"ON-ROAD",2002
"06037","220108025T","PM25-PRI",0.03,"ON-ROAD",2002
"06037","220108025X","PM25-PRI",1.66,"ON-ROAD",2002
"06037","220108027B","PM25-PRI",0.16,"ON-ROAD",2002
"06037","220108027T","PM25-PRI",0.05,"ON-ROAD",2002
"06037","220108027X","PM25-PRI",2.41,"ON-ROAD",2002
"06037","220108029B","PM25-PRI",0.11,"ON-ROAD",2002
"06037","220108029T","PM25-PRI",0.03,"ON-ROAD",2002
"06037","220108029X","PM25-PRI",1.67,"ON-ROAD",2002
"06037","220108031B","PM25-PRI",0.02,"ON-ROAD",2002
"06037","220108031T","PM25-PRI",0.0086102176,"ON-ROAD",2002
"06037","220108031X","PM25-PRI",0.38,"ON-ROAD",2002
"06037","220108033B","PM25-PRI",0.04,"ON-ROAD",2002
"06037","220108033T","PM25-PRI",0.01,"ON-ROAD",2002
"06037","220108033X","PM25-PRI",0.68,"ON-ROAD",2002
"06037","223000111B","PM25-PRI",0.0050719856,"ON-ROAD",2002
"06037","223000111T","PM25-PRI",0.0017998177,"ON-ROAD",2002
"06037","223000111X","PM25-PRI",0.16,"ON-ROAD",2002
"06037","223000113B","PM25-PRI",0.0093108151,"ON-ROAD",2002
"06037","223000113T","PM25-PRI",0.0033039863,"ON-ROAD",2002
"06037","223000113X","PM25-PRI",0.3,"ON-ROAD",2002
"06037","223000115B","PM25-PRI",0.0050557521,"ON-ROAD",2002
"06037","223000115T","PM25-PRI",0.0017940582,"ON-ROAD",2002
"06037","223000115X","PM25-PRI",0.16,"ON-ROAD",2002
"06037","223000117B","PM25-PRI",0.0046873242,"ON-ROAD",2002
"06037","223000117T","PM25-PRI",0.0016633195,"ON-ROAD",2002
"06037","223000117X","PM25-PRI",0.15,"ON-ROAD",2002
"06037","223000119B","PM25-PRI",0.0016679396,"ON-ROAD",2002
"06037","223000119T","PM25-PRI",0.000591876,"ON-ROAD",2002
"06037","223000119X","PM25-PRI",0.05,"ON-ROAD",2002
"06037","223000121B","PM25-PRI",0.001637643,"ON-ROAD",2002
"06037","223000121T","PM25-PRI",0.0005811252,"ON-ROAD",2002
"06037","223000121X","PM25-PRI",0.05,"ON-ROAD",2002
"06037","223000123B","PM25-PRI",0.3,"ON-ROAD",2002
"06037","223000123T","PM25-PRI",0.1,"ON-ROAD",2002
"06037","223000123X","PM25-PRI",10.21,"ON-ROAD",2002
"06037","223000125B","PM25-PRI",0.19,"ON-ROAD",2002
"06037","223000125T","PM25-PRI",0.06,"ON-ROAD",2002
"06037","223000125X","PM25-PRI",6.44,"ON-ROAD",2002
"06037","223000127B","PM25-PRI",0.28,"ON-ROAD",2002
"06037","223000127T","PM25-PRI",0.09,"ON-ROAD",2002
"06037","223000127X","PM25-PRI",9.24,"ON-ROAD",2002
"06037","223000129B","PM25-PRI",0.19,"ON-ROAD",2002
"06037","223000129T","PM25-PRI",0.06,"ON-ROAD",2002
"06037","223000129X","PM25-PRI",6.42,"ON-ROAD",2002
"06037","223000131B","PM25-PRI",0.04,"ON-ROAD",2002
"06037","223000131T","PM25-PRI",0.01,"ON-ROAD",2002
"06037","223000131X","PM25-PRI",1.46,"ON-ROAD",2002
"06037","223000133B","PM25-PRI",0.08,"ON-ROAD",2002
"06037","223000133T","PM25-PRI",0.02,"ON-ROAD",2002
"06037","223000133X","PM25-PRI",2.64,"ON-ROAD",2002
"06037","223006011B","PM25-PRI",0.0070356089,"ON-ROAD",2002
"06037","223006011T","PM25-PRI",0.0026179018,"ON-ROAD",2002
"06037","223006011X","PM25-PRI",0.1,"ON-ROAD",2002
"06037","223006013B","PM25-PRI",0.01,"ON-ROAD",2002
"06037","223006013T","PM25-PRI",0.0048058461,"ON-ROAD",2002
"06037","223006013X","PM25-PRI",0.19,"ON-ROAD",2002
"06037","223006015B","PM25-PRI",0.0070128124,"ON-ROAD",2002
"06037","223006015T","PM25-PRI",0.002609418,"ON-ROAD",2002
"06037","223006015X","PM25-PRI",0.1,"ON-ROAD",2002
"06037","223006017B","PM25-PRI",0.0065020888,"ON-ROAD",2002
"06037","223006017T","PM25-PRI",0.0024193831,"ON-ROAD",2002
"06037","223006017X","PM25-PRI",0.09,"ON-ROAD",2002
"06037","223006019B","PM25-PRI",0.0023137388,"ON-ROAD",2002
"06037","223006019T","PM25-PRI",0.0008609264,"ON-ROAD",2002
