"","fips","SCC","Pollutant","Emissions","type","year"
"14557521","24510","2268003060","PM25-PRI",0.0004158585,"NON-ROAD",2005
"14557525","24510","2268003070","PM25-PRI",0.0005904125,"NON-ROAD",2005
"14557529","24510","2268006005","PM25-PRI",0.01,"NON-ROAD",2005
"14557533","24510","2268006010","PM25-PRI",0.0009819284,"NON-ROAD",2005
"14557537","24510","2268006015","PM25-PRI",0.0014054561,"NON-ROAD",2005
"14557541","24510","2268006020","PM25-PRI",0.05,"NON-ROAD",2005
"14557545","24510","2268010010","PM25-PRI",0.0017169765,"NON-ROAD",2005
"14557549","24510","2270003010","PM25-PRI",0.65,"NON-ROAD",2005
"14557553","24510","2270003020","PM25-PRI",4,"NON-ROAD",2005
"14557557","24510","2270003030","PM25-PRI",1.43,"NON-ROAD",2005
"14557561","24510","2270003040","PM25-PRI",1.6,"NON-ROAD",2005
"14557565","24510","2270003050","PM25-PRI",0.13,"NON-ROAD",2005
"14557569","24510","2270003060","PM25-PRI",8.86,"NON-ROAD",2005
"14557573","24510","2270003070","PM25-PRI",1.95,"NON-ROAD",2005
"14557577","24510","2270004031","PM25-PRI",8.27784e-05,"NON-ROAD",2005
"14557581","24510","2270004036","PM25-PRI",0.01,"NON-ROAD",2005
"14557585","24510","2270004046","PM25-PRI",0.53,"NON-ROAD",2005
"14557589","24510","2270004056","PM25-PRI",0.1,"NON-ROAD",2005
"14557593","24510","2270004066","PM25-PRI",0.61,"NON-ROAD",2005
"14557597","24510","2270004071","PM25-PRI",0.05,"NON-ROAD",2005
"14557601","24510","2270004076","PM25-PRI",0.0021280069,"NON-ROAD",2005
"14557605","24510","2270006005","PM25-PRI",5.23,"NON-ROAD",2005
"14557609","24510","2270006010","PM25-PRI",1.26,"NON-ROAD",2005
"14557613","24510","2270006015","PM25-PRI",2.89,"NON-ROAD",2005
"14557617","24510","2270006025","PM25-PRI",3.17,"NON-ROAD",2005
"14557621","24510","2270006030","PM25-PRI",0.14,"NON-ROAD",2005
"14557625","24510","2270006035","PM25-PRI",0.12,"NON-ROAD",2005
"14557629","24510","2270010010","PM25-PRI",0.05,"NON-ROAD",2005
"14557633","24510","2280002100","PM25-PRI",40.03,"NON-ROAD",2005
"14557637","24510","2280002200","PM25-PRI",0.65,"NON-ROAD",2005
"14557641","24510","2280003000","PM25-PRI",107.12,"NON-ROAD",2005
"14557645","24510","2282005010","PM25-PRI",2.74,"NON-ROAD",2005
"14557649","24510","2282005015","PM25-PRI",1.1,"NON-ROAD",2005
"14557653","24510","2282010005","PM25-PRI",0.05,"NON-ROAD",2005
"14557657","24510","2282020005","PM25-PRI",0.21,"NON-ROAD",2005
"14557661","24510","2282020010","PM25-PRI",0.0045723616,"NON-ROAD",2005
"14557665","24510","2285002006","PM25-PRI",9.23,"NON-ROAD",2005
"14557669","24510","2285002008","PM25-PRI",0.02,"NON-ROAD",2005
"14557673","24510","2285002009","PM25-PRI",6.97,"NON-ROAD",2005
"14557677","24510","2285002010","PM25-PRI",23.54,"NON-ROAD",2005
"14557681","24510","2285002015","PM25-PRI",0.2,"NON-ROAD",2005
"14557685","24510","2285004015","PM25-PRI",0.000756666,"NON-ROAD",2005
"14557689","24510","2285006015","PM25-PRI",1.86445e-05,"NON-ROAD",2005
"51873510","24510","2275050011","PM25-PRI",0.000783137,"POINT",2008
"51873910","24510","2275050012","PM25-PRI",0.00138622,"POINT",2008
"52105810","24510","2275050011","PM25-PRI",0.000783137,"POINT",2008
"52106210","24510","2275050012","PM25-PRI",0.00138622,"POINT",2008
"52345810","24510","2275050011","PM25-PRI",0.000783137,"POINT",2008
"52346210","24510","2275050012","PM25-PRI",0.00138622,"POINT",2008
"53130610","24510","2275050011","PM25-PRI",0.000783137,"POINT",2008
"53131010","24510","2275050012","PM25-PRI",0.00138622,"POINT",2008
"55474910","24510","2275050011","PM25-PRI",0.000783137,"POINT",2008
"55475310","24510","2275050012","PM25-PRI",0.00138622,"POINT",2008
"57006910","24510","2275050011","PM25-PRI",0.000783137,"POINT",2008
"57007310","24510","2275050012","PM25-PRI",0.00138622,"POINT",2008
"57007710","24510","2275050011","PM25-PRI",0.000783137,"POINT",2008
"57008110","24510","2275050012","PM25-PRI",0.00138622,"POINT",2008
"59089210","24510","2275050011","PM25-PRI",0.000783137,"POINT",2008
"59089610","24510","2275050012","PM25-PRI",0.00138622,"POINT",2008
"59112410","24510","2275050011","PM25-PRI",0.000783137,"POINT",2008
"59112810","24510","2275050012","PM25-PRI",0.00138622,"POINT",2008
"59121610","24510","2275050011","PM25-PRI",0.000783137,"POINT",2008
"59122010","24510","2275050012","PM25-PRI",0.00138622,"POINT",2008
"136231710","24510","10300601","PM25-PRI",2.23015,"POINT",2008
"136232210","24510","10300601","PM25-PRI",2.23015,"POINT",2008
"136232710","24510","10300601","PM25-PRI",2.23015,"POINT",2008
"136233210","24510","10300601","PM25-PRI",2.23015,"POINT",2008
"136233710","24510","10300602","PM25-PRI",2.23015,"POINT",2008
"136234210","24510","20300102","PM25-PRI",0,"POINT",2008
"136234610","24510","20300102","PM25-PRI",0,"POINT",2008
"136235010","24510","20300102","PM25-PRI",0,"POINT",2008
"136235410","24510","20200401","PM25-PRI",0.00857623,"POINT",2008
"136235810","24510","20200401","PM25-PRI",0.00857623,"POINT",2008
"136236210","24510","20200401","PM25-PRI",0,"POINT",2008
"136236810","24510","20200102","PM25-PRI",0.00821421,"POINT",2008
"136237210","24510","20200102","PM25-PRI",0.00821421,"POINT",2008
"136237810","24510","30500205","PM25-PRI",0.632993,"POINT",2008
"136238410","24510","10200603","PM25-PRI",0.06279,"POINT",2008
"136238810","24510","10200602","PM25-PRI",0.0039,"POINT",2008
"136239210","24510","30500103","PM25-PRI",0.0328228,"POINT",2008
"136240010","24510","30510205","PM25-PRI",4.17649,"POINT",2008
"136241010","24510","30510198","PM25-PRI",0.653373,"POINT",2008
"136241510","24510","30510298","PM25-PRI",0,"POINT",2008
"136241910","24510","50300101","PM25-PRI",0.00806053,"POINT",2008
"136242410","24510","10200602","PM25-PRI",0.175812,"POINT",2008
"136242910","24510","10200602","PM25-PRI",0.176085,"POINT",2008
"136243410","24510","10200602","PM25-PRI",0.176085,"POINT",2008
"136243910","24510","10200602","PM25-PRI",0.176085,"POINT",2008
"136244410","24510","10200603","PM25-PRI",0.078975,"POINT",2008
"136245210","24510","30103399","PM25-PRI",0,"POINT",2008
"136247210","24510","30103399","PM25-PRI",0,"POINT",2008
"136247610","24510","30103399","PM25-PRI",0,"POINT",2008
"136248110","24510","10200602","PM25-PRI",0.10296,"POINT",2008
"136248510","24510","10200601","PM25-PRI",4.41792,"POINT",2008
"136248910","24510","10200602","PM25-PRI",0,"POINT",2008
"136249310","24510","10200602","PM25-PRI",0,"POINT",2008
"136250310","24510","30500499","PM25-PRI",0.448248,"POINT",2008
"136250710","24510","30500499","PM25-PRI",22.2504,"POINT",2008
"136251110","24510","30500402","PM25-PRI",14.4292,"POINT",2008
"136251610","24510","50400201","PM25-PRI",1.91034,"POINT",2008
"136252010","24510","30500499","PM25-PRI",0,"POINT",2008
"136252410","24510","30500499","PM25-PRI",15.5972,"POINT",2008
"136252810","24510","30500401","PM25-PRI",30.7639,"POINT",2008
"136253310","24510","30501402","PM25-PRI",0,"POINT",2008
"136253710","24510","30500499","PM25-PRI",5.22075,"POINT",2008
"136254110","24510","30183001","PM25-PRI",19.4597,"POINT",2008
"136254710","24510","30509203","PM25-PRI",0.1935,"POINT",2008
"136255510","24510","10300602","PM25-PRI",0.78767,"POINT",2008
"136256010","24510","10300602","PM25-PRI",0.78767,"POINT",2008
"136256510","24510","10300602","PM25-PRI",0.78767,"POINT",2008
"136257010","24510","10300602","PM25-PRI",0.78767,"POINT",2008
"136257510","24510","10300603","PM25-PRI",0,"POINT",2008
"136257910","24510","10300603","PM25-PRI",0,"POINT",2008
"136259410","24510","10200402","PM25-PRI",0.0755575,"POINT",2008
"136259910","24510","10200402","PM25-PRI",0.0992921,"POINT",2008
"136260610","24510","30121101","PM25-PRI",0.0289539,"POINT",2008
"136261110","24510","30182001","PM25-PRI",0,"POINT",2008
"136261710","24510","39999994","PM25-PRI",0,"POINT",2008
"136262810","24510","10200603","PM25-PRI",0,"POINT",2008
"136263210","24510","10200603","PM25-PRI",0.00208,"POINT",2008
"136263610","24510","30501508","PM25-PRI",0,"POINT",2008
"136264010","24510","30501520","PM25-PRI",3.91072,"POINT",2008
"136264510","24510","30501517","PM25-PRI",2.02578,"POINT",2008
"136264910","24510","30599999","PM25-PRI",53.3992,"POINT",2008
"136265310","24510","30501520","PM25-PRI",2.87149,"POINT",2008
"136265710","24510","30501520","PM25-PRI",0,"POINT",2008
"136266110","24510","30501520","PM25-PRI",1.37407,"POINT",2008
"136266710","24510","30590001","PM25-PRI",0,"POINT",2008
"136267110","24510","10200601","PM25-PRI",1.2337,"POINT",2008
"136267510","24510","10200601","PM25-PRI",2.5623,"POINT",2008
"136267910","24510","10200602","PM25-PRI",0.04745,"POINT",2008
"136268310","24510","10200602","PM25-PRI",0,"POINT",2008
"136268710","24510","10200602","PM25-PRI",7.92415,"POINT",2008
"136269110","24510","10200602","PM25-PRI",7.92415,"POINT",2008
"136269510","24510","10200602","PM25-PRI",7.92415,"POINT",2008
"136270510","24510","30501004","PM25-PRI",0,"POINT",2008
"136270910","24510","30103599","PM25-PRI",0,"POINT",2008
"136271310","24510","30501004","PM25-PRI",0,"POINT",2008
"136271710","24510","30301202","PM25-PRI",0,"POINT",2008
"136272110","24510","30301202","PM25-PRI",0,"POINT",2008
"136272510","24510","30301202","PM25-PRI",0,"POINT",2008
"136272910","24510","30103599","PM25-PRI",0,"POINT",2008
"136273310","24510","30103599","PM25-PRI",0,"POINT",2008
"136273710","24510","30103599","PM25-PRI",0,"POINT",2008
"136274110","24510","30101202","PM25-PRI",0,"POINT",2008
"136274510","24510","30103501","PM25-PRI",0.108973,"POINT",2008
"136274910","24510","30301201","PM25-PRI",7.31313,"POINT",2008
"136275510","24510","30103554","PM25-PRI",0,"POINT",2008
"136275910","24510","30102399","PM25-PRI",0,"POINT",2008
"136276310","24510","30103501","PM25-PRI",0,"POINT",2008
"136276910","24510","10300603","PM25-PRI",0,"POINT",2008
"136277310","24510","10300603","PM25-PRI",0.00182,"POINT",2008
"136277710","24510","10300603","PM25-PRI",0.003276,"POINT",2008
"136278110","24510","10300603","PM25-PRI",0,"POINT",2008
"136278510","24510","39999999","PM25-PRI",0.699787,"POINT",2008
"136278910","24510","30501301","PM25-PRI",0.00452597,"POINT",2008
"136279310","24510","30501301","PM25-PRI",0.0414012,"POINT",2008
"136279710","24510","30501301","PM25-PRI",0.154889,"POINT",2008
"136280110","24510","30501301","PM25-PRI",0.140074,"POINT",2008
"136280510","24510","30501301","PM25-PRI",0.385839,"POINT",2008
"136280910","24510","30500312","PM25-PRI",0.0176454,"POINT",2008
"136281310","24510","30501301","PM25-PRI",0,"POINT",2008
"136281910","24510","10200602","PM25-PRI",1.898,"POINT",2008
"136282310","24510","30100902","PM25-PRI",1.73482,"POINT",2008
"136282710","24510","30100999","PM25-PRI",3.27708,"POINT",2008
"136283110","24510","30100902","PM25-PRI",0,"POINT",2008
"136283510","24510","30100999","PM25-PRI",0,"POINT",2008
"136283910","24510","30500205","PM25-PRI",1.02461,"POINT",2008
"136284510","24510","30501502","PM25-PRI",0.127728,"POINT",2008
"136284910","24510","30501509","PM25-PRI",1.28872,"POINT",2008
"136285310","24510","30501521","PM25-PRI",1.47323,"POINT",2008
"136285710","24510","30501504","PM25-PRI",0,"POINT",2008
"136286110","24510","30501504","PM25-PRI",0,"POINT",2008
"136286510","24510","30501520","PM25-PRI",0.423647,"POINT",2008
"136286910","24510","30501518","PM25-PRI",0,"POINT",2008
"136287310","24510","30501513","PM25-PRI",3.10757,"POINT",2008
"136287810","24510","30501519","PM25-PRI",0.375206,"POINT",2008
"136288610","24510","30501508","PM25-PRI",0,"POINT",2008
"136289010","24510","10100504","PM25-PRI",0.0309468,"POINT",2008
"136289410","24510","10100504","PM25-PRI",0.0433255,"POINT",2008
"136289810","24510","10100504","PM25-PRI",0.0309468,"POINT",2008
"136290210","24510","10100504","PM25-PRI",0.0340415,"POINT",2008
"136290810","24510","10200603","PM25-PRI",0.02145,"POINT",2008
"136291210","24510","10200603","PM25-PRI",0.072072,"POINT",2008
"136291610","24510","10200603","PM25-PRI",0.04095,"POINT",2008
"136292010","24510","10200603","PM25-PRI",0.04095,"POINT",2008
"136292410","24510","10200602","PM25-PRI",0.0208,"POINT",2008
"136292810","24510","10200602","PM25-PRI",0.0208,"POINT",2008
"136293210","24510","10200603","PM25-PRI",0.00195,"POINT",2008
"136293610","24510","10200603","PM25-PRI",0.00195,"POINT",2008
"136294010","24510","30101503","PM25-PRI",0.0807794,"POINT",2008
"136294410","24510","30101401","PM25-PRI",0.0726302,"POINT",2008
"136294810","24510","30101401","PM25-PRI",0.359101,"POINT",2008
"136295210","24510","30101401","PM25-PRI",0.159992,"POINT",2008
"136296010","24510","30101811","PM25-PRI",0,"POINT",2008
"136296410","24510","10200603","PM25-PRI",0,"POINT",2008
"136296810","24510","10200602","PM25-PRI",0,"POINT",2008
"136297210","24510","30203202","PM25-PRI",0,"POINT",2008
"136297810","24510","10200601","PM25-PRI",0,"POINT",2008
"136298210","24510","10200601","PM25-PRI",0.79417,"POINT",2008
"136298710","24510","10200601","PM25-PRI",0.072645,"POINT",2008
"136299210","24510","10200601","PM25-PRI",1.3735,"POINT",2008
"136299710","24510","10200601","PM25-PRI",0.67954,"POINT",2008
"136300210","24510","10200601","PM25-PRI",3.7303,"POINT",2008
"136300610","24510","10301002","PM25-PRI",0,"POINT",2008
"136301010","24510","30201599","PM25-PRI",4.17663,"POINT",2008
"136301410","24510","30201599","PM25-PRI",3.47378,"POINT",2008
"136301810","24510","30201599","PM25-PRI",0,"POINT",2008
"136302210","24510","30100699","PM25-PRI",2.31218,"POINT",2008
"136302610","24510","30201599","PM25-PRI",0,"POINT",2008
"136303010","24510","30201599","PM25-PRI",5.7885,"POINT",2008
"136303410","24510","30201599","PM25-PRI",5.34254,"POINT",2008
"136303810","24510","30201599","PM25-PRI",3.09963,"POINT",2008
"136304210","24510","30201599","PM25-PRI",3.13148,"POINT",2008
"136304610","24510","30201599","PM25-PRI",3.22638,"POINT",2008
"136305010","24510","30201599","PM25-PRI",1.04176,"POINT",2008
"136305410","24510","30201599","PM25-PRI",0,"POINT",2008
"136306110","24510","30201599","PM25-PRI",3.73779,"POINT",2008
"136306510","24510","30201599","PM25-PRI",1.83015,"POINT",2008
"136306910","24510","30201599","PM25-PRI",2.78281,"POINT",2008
"136307310","24510","30201599","PM25-PRI",1.59308,"POINT",2008
"136307710","24510","30201599","PM25-PRI",0,"POINT",2008
"136308110","24510","30201599","PM25-PRI",0.639977,"POINT",2008
"136308810","24510","30201599","PM25-PRI",10.076,"POINT",2008
"136309410","24510","10200502","PM25-PRI",0,"POINT",2008
"136309910","24510","10200603","PM25-PRI",0.26325,"POINT",2008
"136310310","24510","30300303","PM25-PRI",0.0154119,"POINT",2008
"136310710","24510","30300303","PM25-PRI",0.0154119,"POINT",2008
"136311110","24510","30300303","PM25-PRI",0.0400709,"POINT",2008
"136311510","24510","30300303","PM25-PRI",0.0354474,"POINT",2008
"136312810","24510","30901098","PM25-PRI",0,"POINT",2008
"136313410","24510","10300601","PM25-PRI",1.256,"POINT",2008
"136313910","24510","10300601","PM25-PRI",0.09035,"POINT",2008
"136314310","24510","10300602","PM25-PRI",0.286208,"POINT",2008
"136314810","24510","10300602","PM25-PRI",0.26416,"POINT",2008
"136315310","24510","10300503","PM25-PRI",0.0251028,"POINT",2008
"136315710","24510","10300503","PM25-PRI",0.00776991,"POINT",2008
"136318610","24510","30800704","PM25-PRI",0,"POINT",2008
"136319010","24510","10300402","PM25-PRI",0.0658795,"POINT",2008
"136319410","24510","10300503","PM25-PRI",0.0254614,"POINT",2008
"136319810","24510","10300402","PM25-PRI",0.773673,"POINT",2008
"136320210","24510","10300402","PM25-PRI",0.351316,"POINT",2008
"136320910","24510","10300503","PM25-PRI",0.00665224,"POINT",2008
"136321310","24510","10300503","PM25-PRI",0.00665224,"POINT",2008
"136321710","24510","10300602","PM25-PRI",0.639101,"POINT",2008
"136322110","24510","10300602","PM25-PRI",0.133554,"POINT",2008
"136322510","24510","10300602","PM25-PRI",0.750235,"POINT",2008
"136322910","24510","10300502","PM25-PRI",1.22933,"POINT",2008
"136323310","24510","10300603","PM25-PRI",0,"POINT",2008
"136323710","24510","10300603","PM25-PRI",0,"POINT",2008
"136324110","24510","10300503","PM25-PRI",0,"POINT",2008
"136324510","24510","10300603","PM25-PRI",0,"POINT",2008
"136324910","24510","10300503","PM25-PRI",0,"POINT",2008
"136325510","24510","10200603","PM25-PRI",0.04745,"POINT",2008
"136325910","24510","30101401","PM25-PRI",0,"POINT",2008
"136326310","24510","10300602","PM25-PRI",0.63388,"POINT",2008
"136326710","24510","10300602","PM25-PRI",0.9035,"POINT",2008
"136327210","24510","10300602","PM25-PRI",1.11592,"POINT",2008
"136327610","24510","10300602","PM25-PRI",0.330564,"POINT",2008
"136328110","24510","20300102","PM25-PRI",0,"POINT",2008
"136328510","24510","50200504","PM25-PRI",0.000281703,"POINT",2008
"136328910","24510","20300101","PM25-PRI",0,"POINT",2008
"136329310","24510","20300101","PM25-PRI",0,"POINT",2008
"136329710","24510","20100102","PM25-PRI",0,"POINT",2008
"136330710","24510","30203201","PM25-PRI",0.1014,"POINT",2008
"136331110","24510","30501402","PM25-PRI",8.0407,"POINT",2008
"136332410","24510","10300502","PM25-PRI",0.833352,"POINT",2008
"136332810","24510","10300603","PM25-PRI",0.043654,"POINT",2008
"136333410","24510","10500106","PM25-PRI",0.043654,"POINT",2008
"136333810","24510","10500106","PM25-PRI",0.043654,"POINT",2008
"136334210","24510","10200503","PM25-PRI",0,"POINT",2008
"136334610","24510","30101401","PM25-PRI",0.00209084,"POINT",2008
"136335110","24510","30101401","PM25-PRI",0,"POINT",2008
"136337510","24510","39999999","PM25-PRI",0,"POINT",2008
"136337910","24510","10300601","PM25-PRI",0,"POINT",2008
"136338310","24510","10300601","PM25-PRI",0.05083,"POINT",2008
"136338810","24510","10300601","PM25-PRI",0.6864,"POINT",2008
"136339310","24510","10300602","PM25-PRI",0,"POINT",2008
"136339710","24510","10300601","PM25-PRI",0,"POINT",2008
"136340210","24510","10300601","PM25-PRI",0.3567,"POINT",2008
"136340710","24510","10300601","PM25-PRI",1.00188,"POINT",2008
"136341110","24510","10300602","PM25-PRI",0.7347,"POINT",2008
"136341610","24510","30500201","PM25-PRI",0,"POINT",2008
"136342010","24510","30500201","PM25-PRI",0,"POINT",2008
"136342410","24510","30200504","PM25-PRI",0.0104664,"POINT",2008
"136343210","24510","31299999","PM25-PRI",0,"POINT",2008
"136343610","24510","50200504","PM25-PRI",0.15274,"POINT",2008
"136344210","24510","50200504","PM25-PRI",0.0628894,"POINT",2008
"136345210","24510","10200603","PM25-PRI",0,"POINT",2008
"136345610","24510","10200603","PM25-PRI",0,"POINT",2008
"136347210","24510","10300602","PM25-PRI",0,"POINT",2008
"136347710","24510","10300602","PM25-PRI",0,"POINT",2008
"136348210","24510","10300602","PM25-PRI",0,"POINT",2008
"136348710","24510","10300602","PM25-PRI",0,"POINT",2008
"136349210","24510","10300602","PM25-PRI",0,"POINT",2008
"136350110","24510","50400201","PM25-PRI",0,"POINT",2008
"136352210","24510","20200102","PM25-PRI",0.00444336,"POINT",2008
"136352610","24510","20200102","PM25-PRI",0.0112885,"POINT",2008
"136353010","24510","20200102","PM25-PRI",0.0112885,"POINT",2008
"136528310","24510","30300003","PM25-PRI",0.179859,"POINT",2008
"136528710","24510","30300001","PM25-PRI",5.31846,"POINT",2008
"136529110","24510","30300001","PM25-PRI",7.154,"POINT",2008
"136529510","24510","30300003","PM25-PRI",0.373265,"POINT",2008
"138170810","24510","20300102","PM25-PRI",0,"POINT",2008
"138171210","24510","20300102","PM25-PRI",0,"POINT",2008
"138171610","24510","20300102","PM25-PRI",0,"POINT",2008
"138172010","24510","20300102","PM25-PRI",0,"POINT",2008
"138172610","24510","10200603","PM25-PRI",0,"POINT",2008
"138176210","24510","30200526","PM25-PRI",0,"POINT",2008
"138224310","24510","30500402","PM25-PRI",0,"POINT",2008
"138224810","24510","30200801","PM25-PRI",0,"POINT",2008
"16261231","24510","2104008510","PM25-PRI",2.49714,"NONPOINT",2008
"16307911","24510","2601000000","PM25-PRI",0.015,"NONPOINT",2008
"16399321","24510","2104007000","PM25-PRI",0.0258414,"NONPOINT",2008
"16401101","24510","2104008610","PM25-PRI",10.4741,"NONPOINT",2008
"16435251","24510","2285002010","PM25-PRI",4.81,"NONPOINT",2008
"16450621","24510","2104006000","PM25-PRI",3.04384,"NONPOINT",2008
"16471681","24510","2104004000","PM25-PRI",13.0317,"NONPOINT",2008
"16591821","24510","2285002009","PM25-PRI",0,"NONPOINT",2008
"16649631","24510","2302002200","PM25-PRI",87.906,"NONPOINT",2008
"16663251","24510","2311030000","PM25-PRI",15.25,"NONPOINT",2008
"16671231","24510","2103007000","PM25-PRI",0.0114897,"NONPOINT",2008
"16681361","24510","2104008400","PM25-PRI",0.901605,"NONPOINT",2008
"16684091","24510","2285002007","PM25-PRI",0.107503842,"NONPOINT",2008
"16702661","24510","2103004000","PM25-PRI",5.1792,"NONPOINT",2008
"16744571","24510","2104008310","PM25-PRI",137.002,"NONPOINT",2008
"16751341","24510","2104001000","PM25-PRI",0.04890555,"NONPOINT",2008
"16757071","24510","2280003100","PM25-PRI",75.3358,"NONPOINT",2008
"16765481","24510","2610000400","PM25-PRI",0,"NONPOINT",2008
"16778761","24510","2280003100","PM25-PRI",11.8951,"NONPOINT",2008
"16810891","24510","2104011000","PM25-PRI",0.4463,"NONPOINT",2008
"16811761","24510","2280002100","PM25-PRI",224.745,"NONPOINT",2008
"16850471","24510","2610000500","PM25-PRI",0,"NONPOINT",2008
"16866921","24510","2296000000","PM25-PRI",0.8137,"NONPOINT",2008
"16887541","24510","2104008210","PM25-PRI",222.537,"NONPOINT",2008
"16895871","24510","2302003100","PM25-PRI",17.2939,"NONPOINT",2008
"16936391","24510","2104008220","PM25-PRI",45.713,"NONPOINT",2008
"16945991","24510","2302003200","PM25-PRI",1.79825,"NONPOINT",2008
"17014111","24510","2610000100","PM25-PRI",0,"NONPOINT",2008
"17044501","24510","2104002000","PM25-PRI",0,"NONPOINT",2008
"17059151","24510","2104009000","PM25-PRI",15.4155,"NONPOINT",2008
"17086831","24510","2280002200","PM25-PRI",53.48182,"NONPOINT",2008
"17094071","24510","2311020000","PM25-PRI",194.88,"NONPOINT",2008
"17137821","24510","2302002100","PM25-PRI",15.1252,"NONPOINT",2008
"17163551","24510","2104008320","PM25-PRI",28.1256,"NONPOINT",2008
"17175841","24510","2285002006","PM25-PRI",4.2106458801,"NONPOINT",2008
"17221291","24510","2104008230","PM25-PRI",15.8556,"NONPOINT",2008
"17224241","24510","2103005000","PM25-PRI",0.157405,"NONPOINT",2008
"17237661","24510","2285002008","PM25-PRI",0,"NONPOINT",2008
"17244521","24510","2311010000","PM25-PRI",1.05,"NONPOINT",2008
"17248621","24510","2103006000","PM25-PRI",1.8239,"NONPOINT",2008
"17255461","24510","2294000000","PM25-PRI",22.09,"NONPOINT",2008
"17320241","24510","2104008330","PM25-PRI",9.74377,"NONPOINT",2008
"17328011","24510","2104008100","PM25-PRI",130.314,"NONPOINT",2008
"17343001","24510","2610030000","PM25-PRI",0,"NONPOINT",2008
"17394951","24510","2103011000","PM25-PRI",0.0514916,"NONPOINT",2008
"22327661","24510","2230072290","PM25-PRI",0.0137892,"ON-ROAD",2008
"22328621","24510","2201001250","PM25-PRI",0.414028,"ON-ROAD",2008
"22334651","24510","2201020330","PM25-PRI",0.148817,"ON-ROAD",2008
"22336731","24510","2201070170","PM25-PRI",0.00126115,"ON-ROAD",2008
"22341231","24510","2201001270","PM25-PRI",2.98886,"ON-ROAD",2008
"22342751","24510","2201001310","PM25-PRI",0.742692,"ON-ROAD",2008
"22345151","24510","2230075270","PM25-PRI",0.0125277,"ON-ROAD",2008
"22355151","24510","2230075310","PM25-PRI",0.00430875,"ON-ROAD",2008
"22372941","24510","2201080330","PM25-PRI",0.00133844,"ON-ROAD",2008
"22376801","24510","2230073190","PM25-PRI",7.19266e-05,"ON-ROAD",2008
"22385171","24510","2201020230","PM25-PRI",0.607505,"ON-ROAD",2008
"22387701","24510","2230074310","PM25-PRI",0.0501417,"ON-ROAD",2008
"22389391","24510","2230060330","PM25-PRI",0.00787263,"ON-ROAD",2008
"22395921","24510","2201040270","PM25-PRI",0.733697,"ON-ROAD",2008
"22396411","24510","2201070330","PM25-PRI",0.0144085,"ON-ROAD",2008
"22404071","24510","2230075190","PM25-PRI",2.37877e-05,"ON-ROAD",2008
"22407081","24510","2230074250","PM25-PRI",0.0233622,"ON-ROAD",2008
"22410591","24510","2230001330","PM25-PRI",0.021742,"ON-ROAD",2008
"22413371","24510","2230071190","PM25-PRI",1.53479e-05,"ON-ROAD",2008
"22413811","24510","2230060290","PM25-PRI",0.30316,"ON-ROAD",2008
"22415811","24510","2230060310","PM25-PRI",0.00280435,"ON-ROAD",2008
"22424761","24510","2201020190","PM25-PRI",0.000578253,"ON-ROAD",2008
"22427921","24510","2230073250","PM25-PRI",0.187809,"ON-ROAD",2008
"22433521","24510","2201070330","PM25-PRI",0.0355012,"ON-ROAD",2008
"22436071","24510","2230001230","PM25-PRI",0.0886584,"ON-ROAD",2008
"22436981","24510","2201040170","PM25-PRI",0.000254731,"ON-ROAD",2008
"22440151","24510","2230073290","PM25-PRI",0.820354,"ON-ROAD",2008
"22442151","24510","2230073230","PM25-PRI",0.0500087,"ON-ROAD",2008
"22443141","24510","2230071270","PM25-PRI",0.036138,"ON-ROAD",2008
"22450531","24510","2201001330","PM25-PRI",0.675915,"ON-ROAD",2008
"22451431","24510","2230075330","PM25-PRI",0.00562571,"ON-ROAD",2008
"22456371","24510","2230073310","PM25-PRI",0.403061,"ON-ROAD",2008
"22477231","24510","2201020270","PM25-PRI",1.88701,"ON-ROAD",2008
"22487651","24510","2230072190","PM25-PRI",0.000398836,"ON-ROAD",2008
"22489671","24510","2201020270","PM25-PRI",1.57635,"ON-ROAD",2008
"22494351","24510","2230075290","PM25-PRI",0.00699226,"ON-ROAD",2008
"22496901","24510","2230060290","PM25-PRI",0.0232435,"ON-ROAD",2008
"22496951","24510","2230001310","PM25-PRI",0.000298166,"ON-ROAD",2008
"22498011","24510","2201040250","PM25-PRI",0.0347238,"ON-ROAD",2008
"22499231","24510","2230071230","PM25-PRI",0.0514461,"ON-ROAD",2008
"22502091","24510","2230060170","PM25-PRI",3.21767e-05,"ON-ROAD",2008
"22502411","24510","2230001330","PM25-PRI",0.000313755,"ON-ROAD",2008
"22504441","24510","2230074290","PM25-PRI",0.172223,"ON-ROAD",2008
"22504831","24510","2201040250","PM25-PRI",0.0806081,"ON-ROAD",2008
"22505641","24510","2201020290","PM25-PRI",1.17221,"ON-ROAD",2008
"22510161","24510","2230001170","PM25-PRI",8.06651e-07,"ON-ROAD",2008
"22516021","24510","2230075250","PM25-PRI",0.00132682,"ON-ROAD",2008
"22531751","24510","2230071230","PM25-PRI",0.778241,"ON-ROAD",2008
"22533391","24510","2201040290","PM25-PRI",0.193517,"ON-ROAD",2008
"22535471","24510","2230072290","PM25-PRI",0.182651,"ON-ROAD",2008
"22536141","24510","2201040270","PM25-PRI",0.311522,"ON-ROAD",2008
"22553261","24510","2201070310","PM25-PRI",0.28503,"ON-ROAD",2008
"22554601","24510","2201020190","PM25-PRI",0.00127458,"ON-ROAD",2008
