"fips","SCC","Pollutant","Emissions","type","year"
"01007","2103002000","PM25-PRI",0.017,"NONPOINT",1999
"01009","2102002000","PM25-PRI",0.034,"NONPOINT",1999
"01009","2103001000","PM25-PRI",0.075,"NONPOINT",1999
"01009","2103002000","PM25-PRI",0.011,"NONPOINT",1999
"01011","2102002000","PM25-PRI",0.034,"NONPOINT",1999
"01011","2103001000","PM25-PRI",0.011,"NONPOINT",1999
"01011","2103002000","PM25-PRI",0.011,"NONPOINT",1999
"01013","2102002000","PM25-PRI",0.085,"NONPOINT",1999
"01013","2103001000","PM25-PRI",0.054,"NONPOINT",1999
"01013","2103002000","PM25-PRI",0.011,"NONPOINT",1999
"01015","10200204","PM25-PRI",0.346,"POINT",1999
"01015","10300208","PM25-PRI",9.655,"POINT",1999
"01015","2102002000","PM25-PRI",0.57,"NONPOINT",1999
"01015","2103001000","PM25-PRI",0.041,"NONPOINT",1999
"01015","2103002000","PM25-PRI",0.03,"NONPOINT",1999
"01017","2102002000","PM25-PRI",0.142,"NONPOINT",1999
"01017","2103001000","PM25-PRI",0.086,"NONPOINT",1999
"01017","2103002000","PM25-PRI",0.011,"NONPOINT",1999
"01019","2102002000","PM25-PRI",0.066,"NONPOINT",1999
"01019","2103001000","PM25-PRI",0.033,"NONPOINT",1999
"01019","2103002000","PM25-PRI",0.023,"NONPOINT",1999
"01021","2102002000","PM25-PRI",0.296,"NONPOINT",1999
"01021","2103001000","PM25-PRI",0.054,"NONPOINT",1999
"01021","2103002000","PM25-PRI",0.011,"NONPOINT",1999
"01023","2102002000","PM25-PRI",0.023,"NONPOINT",1999
"01023","2103001000","PM25-PRI",0.022,"NONPOINT",1999
"01023","2103002000","PM25-PRI",0.023,"NONPOINT",1999
"01025","2102002000","PM25-PRI",0.085,"NONPOINT",1999
"01025","2103001000","PM25-PRI",0.075,"NONPOINT",1999
"01025","2103002000","PM25-PRI",0.011,"NONPOINT",1999
"01027","2102002000","PM25-PRI",0.085,"NONPOINT",1999
"01027","2103001000","PM25-PRI",0.022,"NONPOINT",1999
"01027","2103002000","PM25-PRI",0.017,"NONPOINT",1999
"01029","2102002000","PM25-PRI",0.034,"NONPOINT",1999
"01029","2103001000","PM25-PRI",0.011,"NONPOINT",1999
"01029","2103002000","PM25-PRI",0.011,"NONPOINT",1999
"01031","10200204","PM25-PRI",1.847,"POINT",1999
"01031","2102002000","PM25-PRI",0.142,"NONPOINT",1999
"01031","2103001000","PM25-PRI",0.108,"NONPOINT",1999
"01031","2103002000","PM25-PRI",0.011,"NONPOINT",1999
"01033","10100201","PM25-PRI",27.305,"POINT",1999
"01033","10100202","PM25-PRI",3017.917,"POINT",1999
"01033","2102002000","PM25-PRI",0.197,"NONPOINT",1999
"01033","2103001000","PM25-PRI",0.041,"NONPOINT",1999
"01033","2103002000","PM25-PRI",0.017,"NONPOINT",1999
"01035","2102002000","PM25-PRI",0.085,"NONPOINT",1999
"01035","2103001000","PM25-PRI",0.022,"NONPOINT",1999
"01035","2103002000","PM25-PRI",0.023,"NONPOINT",1999
"01037","2102002000","PM25-PRI",0.085,"NONPOINT",1999
"01037","2103001000","PM25-PRI",0.011,"NONPOINT",1999
"01039","10100201","PM25-PRI",16.227,"POINT",1999
"01039","2102002000","PM25-PRI",0.307,"NONPOINT",1999
"01039","2103001000","PM25-PRI",0.108,"NONPOINT",1999
"01039","2103002000","PM25-PRI",0.011,"NONPOINT",1999
"01041","2102002000","PM25-PRI",0.024,"NONPOINT",1999
"01041","2103001000","PM25-PRI",0.022,"NONPOINT",1999
"01041","2103002000","PM25-PRI",0.017,"NONPOINT",1999
"01043","10200204","PM25-PRI",2.524,"POINT",1999
"01043","2102002000","PM25-PRI",0.274,"NONPOINT",1999
"01043","2103001000","PM25-PRI",0.041,"NONPOINT",1999
"01043","2103002000","PM25-PRI",0.017,"NONPOINT",1999
"01045","2102002000","PM25-PRI",0.034,"NONPOINT",1999
"01045","2103001000","PM25-PRI",0.108,"NONPOINT",1999
"01045","2103002000","PM25-PRI",0.011,"NONPOINT",1999
"01047","2102002000","PM25-PRI",0.79,"NONPOINT",1999
"01047","2103001000","PM25-PRI",0.041,"NONPOINT",1999
"01047","2103002000","PM25-PRI",0.017,"NONPOINT",1999
"01049","2102002000","PM25-PRI",0.175,"NONPOINT",1999
"01049","2103001000","PM25-PRI",0.119,"NONPOINT",1999
"01049","2103002000","PM25-PRI",0.011,"NONPOINT",1999
"01051","2102002000","PM25-PRI",0.066,"NONPOINT",1999
"01051","2103001000","PM25-PRI",0.086,"NONPOINT",1999
"01051","2103002000","PM25-PRI",0.011,"NONPOINT",1999
"01053","2102002000","PM25-PRI",0.111,"NONPOINT",1999
"01053","2103001000","PM25-PRI",0.108,"NONPOINT",1999
